result,table,_start,_stop,_time,_value,_field,_measurement,sensor
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:11:36.985838+00:00,55.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:11:36.992192+00:00,0.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:11:36.992193+00:00,55.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:11:36.998594+00:00,22.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:11:37.006670+00:00,22.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:11:37.011041+00:00,0.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:11:37.018037+00:00,0.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:24:50.744563+00:00,45.92237117962724,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:26:26.093123+00:00,29.886903502529282,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:28:01.998148+00:00,49.812467542459274,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:29:37.689433+00:00,51.640668577253756,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:31:13.534441+00:00,50.397184128022154,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:46:49.777357+00:00,2.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:48:35.496768+00:00,2.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:51:07.250464+00:00,2.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:52:23.516411+00:00,2.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:55:47.144142+00:00,2.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:56:55.678917+00:00,2.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:58:10.756452+00:00,25.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:59:25.826430+00:00,25.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 15:00:40.902893+00:00,25.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 15:01:55.954852+00:00,25.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 15:03:10.981668+00:00,25.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 15:14:23.928170+00:00,2.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 15:15:38.995366+00:00,25.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 15:16:10.516875+00:00,2.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 15:19:50.093297+00:00,2.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 15:23:46.802389+00:00,2.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 15:25:01.877313+00:00,25.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 15:26:17.164191+00:00,25.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 15:27:31.949975+00:00,25.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 15:28:46.966836+00:00,25.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 15:30:02.047112+00:00,25.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 15:31:17.046203+00:00,25.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 15:32:32.079088+00:00,25.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 15:33:47.119866+00:00,25.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 15:35:02.129961+00:00,25.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 15:36:17.198047+00:00,25.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 15:37:32.198520+00:00,25.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 15:38:47.274067+00:00,25.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 15:40:02.341674+00:00,25.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 15:41:17.417516+00:00,25.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 15:55:18.747886+00:00,2.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 15:56:33.817825+00:00,25.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 15:57:48.892912+00:00,25.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 15:59:04.013773+00:00,25.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 16:00:19.027103+00:00,25.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 16:01:34.048684+00:00,25.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 16:02:49.059563+00:00,25.0,value,metricas,buffer
