imagen,resultado
buffer_2_colores_verde.png,"[0.033951525624202034, 2.93954385292715, 0.0, 33.701377804311136]"
buffer_2_colores_amarillo.png,"[0.0, 0.31395548129205, 0.0, 39.275014674025485]"
buffer_2_semicirculo_negro.png,"[9.01487200670386, 8.452802140117733, 0.0059865703605009426, 43.28558208036375]"
buffer_2_colores_azul.png,"[2.081882037522941, 5.138311839168509, 0.0, 32.69872521577123]"
buffer_2_colores_rosa.png,"[3.620262844729559, 14.048115783467452, 0.0, 47.942803530854924]"
buffer_2.png,"[0.0, 0.20097116758072622, 0.0, 17.834266581681902]"
buffer_2_colores_mezcla.png,"[4.41344084181667, 19.162774520837, 0.002026016639696487, 73.55082013560849]"
buffer_2_rectangulo_chico.png,"[10.665722505748441, 11.171540979568935, 0.22769524061354846, 60.960709911867525]"
