imagen,resultado
buffer_2_colores_verde.png,"[0.9208610925547386, 9.177665581307258]"
buffer_2_colores_amarillo.png,"[0.4825792767815333, 7.125988565630638]"
buffer_2_semicirculo_negro.png,"[4.392590002507587, 17.182554425820264]"
buffer_2_colores_azul.png,"[2.188494161828566, 9.322831587575001]"
buffer_2_colores_rosa.png,"[3.696491146488041, 20.514014312646292]"
buffer_2.png,"[0.3421912105554035, 2.9815112720274115]"
buffer_2_colores_mezcla.png,"[9.166713007261817, 34.092875221286505]"
buffer_2_rectangulo_chico.png,"[12.808901711250783, 29.846474706720922]"
