imagen,resultado
buffer_2_colores_verde.png,"[52.00805573111283, 45.072727975781596, 33.06350680477797]"
buffer_2_colores_amarillo.png,"[45.66970219353366, 46.92684147993527, 38.4464183838475]"
buffer_2_semicirculo_negro.png,"[57.94212525907759, 47.61212748913271, 42.751474888290126]"
buffer_2_colores_azul.png,"[52.44617501666342, 44.6154844122433, 32.118539199767916]"
buffer_2_colores_rosa.png,"[64.64927513487066, 56.988588892585, 47.41365155802814]"
buffer_2_colores_mezcla.png,"[74.83145560730723, 77.07198114555554, 72.86331061822128]"
buffer_2_rectangulo_chico.png,"[70.01882670074313, 62.87136435215343, 60.3456777782997]"
